year,circuit,driver,lap_number,lap_time_seconds,compound,tyre_life,is_pit_lap,track_status,lap_time_delta,tyre_age_normalised,relative_position,laps_remaining,compound_encoded,pit_in_next_3_laps
2019,Canada,ALB,46,77.198,HARD,45.0,0,1.0,-1.2420000000000044,1.1842105263157894,0.8,24,2,0
2019,Canada,ALB,47,77.151,HARD,46.0,0,1.0,-1.2890000000000015,1.2105263157894737,0.8,23,2,0
2019,Canada,ALB,48,78.957,HARD,47.0,0,1.0,0.5169999999999959,1.236842105263158,0.8,22,2,0
2019,Canada,ALB,49,78.586,HARD,48.0,0,1.0,0.1460000000000008,1.263157894736842,0.8,21,2,0
2019,Canada,ALB,50,77.75,HARD,49.0,0,1.0,-0.6899999999999977,1.2894736842105263,0.8,20,2,0
2019,Canada,ALB,51,77.892,HARD,50.0,0,1.0,-0.5480000000000018,1.3157894736842106,0.8,19,2,0
2019,Canada,ALB,52,77.733,HARD,51.0,0,1.0,-0.7069999999999936,1.3421052631578947,0.8,18,2,0
2019,Canada,ALB,53,78.038,HARD,52.0,0,1.0,-0.402000000000001,1.368421052631579,0.8,17,2,0
2019,Canada,ALB,54,77.943,HARD,53.0,0,1.0,-0.4969999999999999,1.394736842105263,0.8,16,2,0
2019,Canada,ALB,55,79.855,HARD,54.0,0,1.0,1.4150000000000063,1.4210526315789473,0.8,15,2,0
2019,Canada,ALB,56,79.4,HARD,55.0,0,1.0,0.960000000000008,1.4473684210526316,0.8,14,2,0
2019,Canada,ALB,57,78.168,HARD,56.0,0,1.0,-0.27199999999999136,1.4736842105263157,0.8,13,2,0
2019,Canada,ALB,58,79.714,HARD,57.0,0,1.0,1.274000000000001,1.5,0.8,12,2,0
2019,Canada,ALB,59,79.707,HARD,58.0,0,1.0,1.266999999999996,1.5,0.8,11,2,0
2019,Canada,BOT,1,86.523,MEDIUM,4.0,0,12.0,9.766999999999996,0.14285714285714285,0.35,69,1,0
2019,Canada,BOT,2,78.947,MEDIUM,5.0,0,21.0,2.1910000000000025,0.17857142857142858,0.35,68,1,0
2019,Canada,BOT,3,78.084,MEDIUM,6.0,0,1.0,1.328000000000003,0.21428571428571427,0.35,67,1,0
2019,Canada,BOT,4,77.583,MEDIUM,7.0,0,1.0,0.8269999999999982,0.25,0.35,66,1,0
2019,Canada,BOT,5,78.453,MEDIUM,8.0,0,1.0,1.6970000000000027,0.2857142857142857,0.35,65,1,0
2019,Canada,BOT,6,78.154,MEDIUM,9.0,0,1.0,1.3979999999999961,0.32142857142857145,0.35,64,1,0
2019,Canada,BOT,7,78.271,MEDIUM,10.0,0,1.0,1.5150000000000006,0.35714285714285715,0.3,63,1,0
2019,Canada,BOT,8,78.654,MEDIUM,11.0,0,1.0,1.8979999999999961,0.39285714285714285,0.25,62,1,0
2019,Canada,BOT,9,77.956,MEDIUM,12.0,0,12.0,1.2000000000000028,0.42857142857142855,0.25,61,1,0
2019,Canada,BOT,10,78.261,MEDIUM,13.0,0,2.0,1.5049999999999955,0.4642857142857143,0.25,60,1,0
2019,Canada,BOT,11,77.671,MEDIUM,14.0,0,21.0,0.9150000000000063,0.5,0.25,59,1,0
2019,Canada,BOT,12,77.579,MEDIUM,15.0,0,1.0,0.8229999999999933,0.5357142857142857,0.25,58,1,0
2019,Canada,BOT,13,77.528,MEDIUM,16.0,0,12.0,0.7720000000000056,0.5714285714285714,0.25,57,1,0
2019,Canada,BOT,14,77.235,MEDIUM,17.0,0,1.0,0.4789999999999992,0.6071428571428571,0.25,56,1,0
2019,Canada,BOT,15,77.384,MEDIUM,18.0,0,1.0,0.6280000000000001,0.6428571428571429,0.25,55,1,0
2019,Canada,BOT,16,77.342,MEDIUM,19.0,0,1.0,0.5859999999999985,0.6785714285714286,0.2,54,1,0
2019,Canada,BOT,17,77.082,MEDIUM,20.0,0,1.0,0.3259999999999934,0.7142857142857143,0.2,53,1,0
2019,Canada,BOT,18,77.116,MEDIUM,21.0,0,1.0,0.35999999999999943,0.75,0.2,52,1,0
2019,Canada,BOT,19,77.094,MEDIUM,22.0,0,1.0,0.33799999999999386,0.7857142857142857,0.2,51,1,0
2019,Canada,BOT,20,76.923,MEDIUM,23.0,0,1.0,0.1670000000000016,0.8214285714285714,0.2,50,1,0
2019,Canada,BOT,21,76.895,MEDIUM,24.0,0,1.0,0.1389999999999958,0.8571428571428571,0.2,49,1,0
